date,close
2026-05-26,308.3299865722656
2026-05-27,310.8500061035156
2026-05-28,312.510009765625
2026-05-29,312.05999755859375
2026-06-01,306.30999755859375
2026-06-02,315.20001220703125
2026-06-03,310.260009765625
2026-06-04,311.2300109863281
2026-06-05,307.3399963378906
2026-06-08,301.5400085449219
2026-06-09,290.54998779296875
2026-06-10,291.5799865722656
2026-06-11,295.6300048828125
2026-06-12,291.1300048828125
2026-06-15,296.4200134277344
2026-06-16,299.239990234375
2026-06-17,295.95001220703125
2026-06-18,298.010009765625
2026-06-22,297.010009765625
2026-06-23,294.29998779296875
2026-06-24,293.0799865722656
2026-06-25,275.1499938964844
2026-06-26,283.7799987792969
2026-06-29,281.739990234375
2026-06-30,289.3599853515625
2026-07-01,294.3800048828125
2026-07-02,308.6300048828125
2026-07-06,312.6600036621094
2026-07-07,310.6600036621094
2026-07-08,313.3900146484375
2026-07-09,316.2200012207031
2026-07-10,315.32000732421875
2026-07-13,317.30999755859375
2026-07-14,314.8599853515625
2026-07-15,327.5
2026-07-16,333.260009765625
2026-07-17,333.739990234375
2026-07-20,326.5899963378906
2026-07-21,327.739990234375
2026-07-22,325.8900146484375
2026-07-23,321.6600036621094
2026-07-24,333.0199890136719
2026-07-27,336.9100036621094
2026-07-28,340.0799865722656
2026-07-29,338.19000244140625
2026-07-30,333.42999267578125
2026-07-31,308.9100036621094
2026-08-03,303.4200134277344
2026-08-04,309.3800048828125
2026-08-05,311.0
2026-08-06,312.4100036621094
2026-08-07,313.3299865722656
2026-08-10,308.260009765625
2026-08-11,304.9100036621094
2026-08-12,302.25
2026-08-13,305.260009765625
2026-08-14,305.92999267578125
2026-08-17,305.5899963378906
2026-08-18,310.0299987792969
2026-08-19,316.8299865722656
2026-08-20,311.29998779296875
2026-08-21,309.3500061035156
2026-08-24,310.3399963378906
2026-08-25,309.8999938964844
2026-08-26,312.56500244140625
