scenario,n,mae,mae_ci_lo,mae_ci_hi,slope,intercept
Mean imputation,180,1.278316828696948,1.0550822262814064,1.5309979723635576,2.1302362713250993,0.7115233802766637
Median imputation,180,1.2839539915408875,1.061978642269529,1.5328677199116594,2.12929027475983,0.7271464831484251
Drop missing rows,171,1.064603292197006,0.9060356733899282,1.2401163503922816,2.1302362713251006,0.6591643618498655
