scenario,target_quantile,accuracy,precision,recall,f1,roc_auc,positive_rate
Trailing quantile 70%,0.7,0.7087576374745418,0.5076923076923077,0.45517241379310347,0.48,0.7058999402033087,0.2953156822810591
Trailing quantile 75%,0.75,0.7331975560081466,0.46875,0.4878048780487805,0.47808764940239046,0.7159994697773064,0.2505091649694501
Trailing quantile 80%,0.8,0.790224032586558,0.47619047619047616,0.5102040816326531,0.49261083743842365,0.7497273718647763,0.19959266802443992
