,count,mean,median,std,min,max,skew,missing
open,2451.0,414.1146511045197,396.7200012207031,143.64635873237356,219.6699981689453,778.5399780273438,0.6741458966778368,0
high,2451.0,416.34422707528495,399.989990234375,144.2279795107809,220.25,779.3699951171875,0.6689876703357022,0
low,2451.0,411.67707854589605,393.55999755859375,142.9707803701501,218.2599945068359,775.4299926757812,0.6785728718060176,0
close,2451.0,414.18128939892796,396.9200134277344,143.67034858550682,219.57000732421875,777.8800048828125,0.6733683097252544,0
adjusted_close,2451.0,392.66079851988627,377.673095703125,152.6411956474424,187.9774169921875,777.8800048828125,0.6815448355121614,0
volume,2451.0,78935426.60138719,70591300.0,38374462.438183144,20270000.0,392220700.0,2.741869181485423,0
return_1d,2451.0,0.0006374404603081483,0.0007724194285163577,0.0114073313254463,-0.10942389762600024,0.10501950265487436,-0.31128844272961,0
return_robust_z,2451.0,-0.012686038183087903,0.006226386449552023,1.5983252562671049,-15.4338052625795,14.612687903104767,-0.3112884427296102,0
return_lag_1,2451.0,0.0006392175238736907,0.0007724194285163577,0.011408069295541874,-0.10942389762600024,0.10501950265487436,-0.3116094034116557,0
momentum_5,2451.0,0.00315128318545359,0.004959746105738461,0.023336991230000947,-0.1796929048843302,0.17358161339542488,-0.796355713669194,0
momentum_20,2451.0,0.01274792247819958,0.01862204230642517,0.04486663968554289,-0.30986752310728116,0.230725253220877,-1.2509535949664314,0
volatility_5,2451.0,0.008879342839314493,0.00710324919490069,0.007528810189099148,0.00042570401728068464,0.08833375292806037,4.249046467871866,0
volatility_20,2451.0,0.009467895682043235,0.00787621998422487,0.006486606348158225,0.0020098517128047675,0.05870114215951782,3.672346878326272,0
volatility_60,2451.0,0.00987917398961787,0.00830394009179534,0.005765331189765473,0.0031400272993747265,0.038661050926792694,2.6310099682170867,0
range_pct,2451.0,0.011437872815234984,0.008901198814655172,0.008989325477257884,0.001229095645349058,0.10129052498779018,3.2235072535438514,0
volume_change_5,2451.0,0.08344955396255399,-0.011657838278752108,0.4799667009000126,-0.7712183981603642,4.901347979825175,2.154351299325713,0
price_vs_sma20,2451.0,0.005678876603070104,0.009889259136609097,0.02535149498620448,-0.20079842524246627,0.11452481765660738,-1.7881949460903814,0
drawdown_60,2451.0,-0.029099741167715038,-0.010267658777678101,0.04367338493019085,-0.3371726769000344,0.0,-2.4780581219703395,0
sma50,2451.0,386.9185123085324,375.1315576171875,149.09431758255175,183.80035552978515,752.6315698242188,0.6628524493376663,0
high_vol_threshold,2385.0,0.009911356665664473,0.009144857956461971,0.003134620617853104,0.003939129803328056,0.01718014908040988,0.47547251498171345,66
target_high_vol_next,2451.0,0.25499796001631986,0.0,0.43594901171141937,0.0,1.0,1.1249119357011086,0
