date,open,high,low,close,adjusted_close,volume
2016-08-29 13:30:00,217.44000244140625,218.6699981689453,217.3999938964844,218.36000061035156,186.001953125,70502200
2016-08-30 13:30:00,218.2599945068359,218.58999633789065,217.3500061035156,218.0,185.69529724121097,58114500
2016-08-31 13:30:00,217.61000061035156,217.75,216.47000122070312,217.3800048828125,185.1671600341797,85269500
2016-09-01 13:30:00,217.3699951171875,217.72999572753903,216.02999877929688,217.38999938964844,185.17567443847656,97844200
2016-09-02 13:30:00,218.38999938964844,218.8699951171875,217.6999969482422,218.3699951171875,186.0104217529297,79293900
2016-09-06 13:30:00,218.6999969482422,219.1199951171875,217.86000061035156,219.02999877929688,186.5726776123047,56702100
2016-09-07 13:30:00,218.83999633789065,219.22000122070312,218.3000030517578,219.0099945068359,186.55563354492188,76554900
2016-09-08 13:30:00,218.6199951171875,218.94000244140625,218.1499938964844,218.5099945068359,186.12973022460935,74102900
2016-09-09 13:30:00,216.97000122070312,217.02999877929688,213.25,213.27999877929688,181.67469787597656,221589100
2016-09-12 13:30:00,212.38999938964844,216.80999755859375,212.30999755859375,216.33999633789065,184.2812957763672,168110900
2016-09-13 13:30:00,214.83999633789065,215.1499938964844,212.5,213.22999572753903,181.6321258544922,182828800
2016-09-14 13:30:00,213.2899932861328,214.6999969482422,212.5,213.1499938964844,181.56394958496097,134185500
2016-09-15 13:30:00,212.9600067138672,215.72999572753903,212.75,215.27999877929688,183.3783416748047,134427900
2016-09-16 13:30:00,213.47999572753903,213.69000244140625,212.57000732421875,213.3699951171875,182.66940307617188,155236400
2016-09-19 13:30:00,214.1300048828125,214.8800048828125,213.02999877929688,213.41000366210935,182.7037048339844,80250500
2016-09-20 13:30:00,214.41000366210935,214.58999633789065,213.3800048828125,213.4199981689453,182.71229553222656,69665300
2016-09-21 13:30:00,214.2400054931641,216.02999877929688,213.44000244140625,215.82000732421875,184.76702880859375,110284400
2016-09-22 13:30:00,217.0,217.52999877929688,216.7100067138672,217.17999267578125,185.93130493164065,76678700
2016-09-23 13:30:00,216.72000122070312,216.8800048828125,215.8800048828125,215.9900054931641,184.91249084472656,73630900
2016-09-26 13:30:00,215.02000427246097,215.22999572753903,214.0099945068359,214.2400054931641,183.4142913818359,89827300
2016-09-27 13:30:00,214.0500030517578,215.67999267578125,213.6199951171875,215.57000732421875,184.552978515625,78494800
2016-09-28 13:30:00,215.8300018310547,216.82000732421875,214.7100067138672,216.63999938964844,185.4690093994141,87411000
2016-09-29 13:30:00,216.3999938964844,216.8699951171875,214.0399932861328,214.67999267578125,183.79103088378903,128070600
2016-09-30 13:30:00,215.6499938964844,217.1199951171875,215.36000061035156,216.3000030517578,185.17788696289065,117202900
2016-10-03 13:30:00,215.82000732421875,216.0399932861328,215.0399932861328,215.77999877929688,184.73272705078125,83512100
2016-10-04 13:30:00,215.91000366210935,216.1699981689453,213.9900054931641,214.67999267578125,183.79103088378903,119948100
