date,open,high,low,close,adjusted_close,volume,return_1d,return_robust_z,return_outlier,return_lag_1,momentum_5,momentum_20,volatility_5,volatility_20,volatility_60,range_pct,volume_change_5,price_vs_sma20,drawdown_60,sma50,market_regime,high_vol_threshold,target_high_vol_next
2016-11-22 14:30:00,220.5099945068359,220.7899932861328,219.72999572753903,220.5800018310547,188.84210205078125,67429000,0.001953313958604763,0.1716860806216356,False,0.007551520471924311,0.010537190285090814,0.029929820385792505,0.004290251470201729,0.006782105606646281,0.00698452648390026,0.00480550163112994,-0.26429801227679306,0.02642627864640712,0.0,183.80035552978515,Above 50-day trend,,0.0
2016-11-23 14:30:00,219.97999572753903,220.7599945068359,219.75,220.6999969482422,188.94480895996097,56620200,0.0005438771760339911,-0.025795551359153526,False,0.001953313958604763,0.012989383262600462,0.032562953910154846,0.00384117291766041,0.006736551215353861,0.006980017058860386,0.004576323157234884,-0.13712001487403547,0.025324168118397328,0.0,183.94797271728515,Above 50-day trend,,0.0
2016-11-25 14:30:00,221.1000061035156,221.55999755859375,221.0099945068359,221.52000427246097,189.64686584472656,37872300,0.0037156717277919693,0.41861683530104,False,0.0005438771760339911,0.011553345621915678,0.03917090049877903,0.0036529124658320725,0.006673424508560402,0.006981099726209824,0.0024828595212618297,-0.4573951390600196,0.02714166323850775,0.0,184.07334320068358,Above 50-day trend,,0.0
2016-11-28 14:30:00,221.16000366210935,221.47999572753903,220.36000061035156,220.47999572753903,188.7564392089844,76572500,-0.004695182447524315,-0.7598604326643225,False,0.0037156717277919693,0.009061645110024497,0.03735759369210134,0.004487136417039759,0.0067515328914615445,0.007012196945342046,0.005079803786696004,-0.11236550289917902,0.02044061754137938,-0.004695182447524315,184.19508392333984,Above 50-day trend,,0.0
2016-11-29 14:30:00,220.52000427246097,221.44000244140625,220.1699981689453,220.91000366210935,189.12464904785156,69886700,0.0019507140546315416,0.17132179803303402,False,-0.004695182447524315,0.0034524441683898566,0.039332286773320124,0.0032156463460483575,0.006738078518015242,0.0069942051257827435,0.0057489667801710765,-0.03474875211663675,0.020456994314911325,-0.0027536273512822618,184.3235028076172,Above 50-day trend,,0.0
2016-11-30 14:30:00,221.6300048828125,221.82000732421875,220.30999755859375,220.3800048828125,188.6708984375,113291800,-0.0023992145531318565,-0.4381635021123119,False,0.0019507140546315416,-0.0009065966297876482,0.0444058939367753,0.0033746086506751226,0.0064717856981584875,0.006993468023391853,0.0068518455947396435,0.6801643209894852,0.01581030564474628,-0.005146235361599083,184.44267486572267,Above 50-day trend,,0.0
2016-12-01 14:30:00,220.72999572753903,220.72999572753903,219.1499938964844,219.57000732421875,187.9774169921875,79040500,-0.003675614263013771,-0.6170047959428347,False,-0.0023992145531318565,-0.005119971133890511,0.04686753522037579,0.003664464899513106,0.006335065913677926,0.0070113751790973605,0.0071958909611984844,0.3959770541255594,0.009788903642513391,-0.008802934048516953,184.50688262939454,Above 50-day trend,,0.0
2016-12-02 14:30:00,219.6699981689453,220.25,219.2599945068359,219.67999267578125,188.0716094970703,74840300,0.000501084153564646,-0.03179144703829336,False,-0.003675614263013771,-0.00830626090570874,0.052208145877973955,0.0028075320952132593,0.006143299064048705,0.007004204709574754,0.004506580144625226,0.9761223902430007,0.007768995116713917,-0.00830626090570874,184.54968872070313,Above 50-day trend,,0.0
2016-12-05 14:30:00,220.6499938964844,221.3999938964844,220.4199981689453,221.0,189.20164489746097,67837800,0.006008537936228242,0.7398791766525314,False,0.000501084153564646,0.0023586251697811367,0.059697829116241996,0.00381730076175431,0.006125615392598809,0.00628549395427997,0.00443436980786919,-0.11407097848444281,0.010937302460844567,-0.002347631453240684,184.6354718017578,Above 50-day trend,,0.0
2016-12-06 14:30:00,221.22000122070312,221.7400054931641,220.66000366210935,221.6999969482422,189.80093383789065,59877400,0.0031674615765338032,0.34180499338115466,False,0.006008537936228242,0.003575868050218922,0.04011303880507877,0.0039704391753358,0.0041611781749253595,0.006034647562196982,0.004871456228783261,-0.1432218147372819,0.01216006077194609,0.0,184.76320465087892,Above 50-day trend,,0.0
